PK_Station	name_stat	location	region	x	y	PK_Sensor	descra	date	rain_24
241800	Novara_Agogna_Q_A_	Novara	PIEMONTE	468276	5030866	8560	5030866.4	20.06.2010	5.0
100100	Avigliana-Grancia	Avigliana	PIEMONTE	373031	4994648	5702	4994648.064	20.06.2010	7.0
171900	Lago_Agnel	Ceresole_Reale	PIEMONTE	354410	5036784	7576	5036784.134	20.06.2010	0.2
133600	Coazze-Ruata	Coazze	PIEMONTE	361610	4988307	13	4988306.644	20.06.2010	8.0
90100	Bosio-Cap_Marcarolo	Bosio	PIEMONTE	481559	4934411	8106	4934411.112	20.06.2010	10.0
368500	Pinerolo	Pinerolo	PIEMONTE	370524	4971294	8741	4971293.995	20.06.2010	7.1
282100	Pragelato_Tramp__Valle	Pragelato	PIEMONTE	337996	4986084	6332	4986083.893	20.06.2010	0.4
88400	Ponzone-Bric_Berton	Ponzone	PIEMONTE	463312	4929923	7509	4929923.21	20.06.2010	4.1
185700	Ovada	Ovada	PIEMONTE	471144	4943791	7400	4943791.077	20.06.2010	9.0
85700	Meugliano-V_Garavot	Meugliano	PIEMONTE	404230	5034971	6859	5034971.299	20.06.2010	2.0
244600	Massello-Porte	Massello	PIEMONTE	347998	4980225	6191	4980224.756	20.06.2010	4.0
259900	Courmayeur_Lex_Blanche	Courmayeur	VALLE_D'AOSTA	332239	5070357	6973	5070357.105	20.06.2010	2.0
2459	Monte_Capellino	Mignanego	LIGURIA	496139	4932287	-260	4932286.652	20.06.2010	7.0
184300	Venaria	NA	NA	392275	4998738	8010	4998738.07	20.06.2010	3.0
204300	Valle_Dorizzo_(ex_Gaver)	Bagolino	LOMBARDIA	612283	5081488	5538	5081488.227	20.06.2010	19.1
328700	Carobbio_degli_Angeli	Carobbio_degli_Angeli	LOMBARDIA	564137	5057091	3609	5057090.744	20.06.2010	24.0
63100	Dezzo_di_Scalve	Azzone	LOMBARDIA	585539	5091863	7116	5091862.53	20.06.2010	16.0
145700	Vo'Destro	Trento	TRENTINO-ALTO_ADIGE	651638	5065963	1151	5065963.071	20.06.2010	21.0
239400	Vo'di_Brendola	Brendola	VENETO	691159	5036038	5821	5036037.779	20.06.2010	26.0
297000	Barni	Barni	LOMBARDIA	520641	5083560	4941	5083560.185	20.06.2010	13.0
